ResponseId,UserLanguage,Cry_last,qual_Q,Trigger_cause,Trigger_cause_3_TEXT,Trigger_type,Trigger_type_4_TEXT,Context,context2,context3,intense_tear,intense_time,Zintense_tear,Zintense_time,mood_1,Freq,BACS_1,BACS_2,BACS_3,BACS_4,BACS_5,BACS_6,BACS_7,BACS_8,BACS_9,BACS_10,BACS_11,BACS_12,BACS_13,BACS_14,GES_1,GES_2,GES_3,GES_4,GES_5,TMF_1,TMF_2,TMF_3,TMF_4,TMF_5,TMF_6,ZGES_1,ZGES_2,ZGES_3,ZGES_4,ZGES_5,ZTMF_1,ZTMF_2,ZTMF_3,ZTMF_4,ZTMF_5,ZTMF_6,age,gender,gender_4_TEXT,live,live_6_TEXT,live_time,birth_other,BACS_Help,BACS_social,BACS_Ind,GRE,Cry_intensity
R_RFHgKo32bHn3w0F,EN-GB,6,"the experience was due to frustration with myself and the situation, and how i felt unsure about how the future would progress, considering what happened and how that would change the whole social situation",1,,2,,1,,4,1,1,-1.41951075,-0.73869892,4,0,2,1,1,1,5,2,2,5,1,3,4,5,1,2,4,3,3,3,2,3,3,4,3,4,4,1.14149975,-0.347461324,-1.311794299,-0.394937304,-0.617737195,-0.739507144,-0.641101309,-0.005727582,-0.735334967,-0.053608445,-0.157669608,18,1,,1,,1,,2.142857143,4.25,1,-0.351216312,-1.079104835
R_2eUT64gPjTcQRJO,EN-GB,4,My girlfriend and I were forced to break up for an issue that was unreasonable. She sent me a message to apologise to my parents for this and by reading it I started crying. I was in a car during this and I felt a combination of frustration and sadness throughout the whole experience. My parents were there as well and supported me through this.,3,Both,1,,3,1,4,3,1,0.332559879,-0.73869892,4,0,4,2,2,2,3,5,2,2,4,4,4,2,1,3,3,3,4,3,2,3,3,2,3,3,3,-0.251067568,-0.347461324,0.55861097,-0.394937304,-0.617737195,-0.739507144,-0.641101309,-1.272955121,-0.735334967,-0.723336485,-0.648381688,18,1,,1,,5,Philippines,3.285714286,3,1.666666667,-0.528473558,-0.203069521
R_sZh6ZVuo1js10fD,EN-GB,6,The day my highschool girlfriend of two years and I broke up. I was at home alone.,1,,1,,1,,4,3,1,0.332559879,-0.73869892,4,0,1,1,3,1,4,5,1,5,1,1,1,5,3,1,3,3,3,3,2,2,4,1,2,2,3,-0.251067568,-0.347461324,-1.311794299,-0.394937304,-0.617737195,-1.357155765,-0.065020417,-1.906568891,-1.401426518,-1.393064526,-0.648381688,18,1,,1,,1,,1,4.75,2.333333333,-0.881328681,-0.203069521
R_1GCQWZzGqjR98jM,EN-GB,6,"I was at my 18th birthday party, I caught my ex-girlfriend (that i had been with for 2 years) cheating on me with another male. Before hand I was having a good time because all my mates were there with me enjoying themselves. Afterwards I obviously felt very upset and disheartened which lead to my emotions getting the best of me. I was comforted by my dad and my best mates.",1,,1,,5,1,4,2,2,-0.543475436,-0.02089899,5,0,2,2,4,5,2,4,1,2,1,2,2,4,5,2,3,3,4,2,3,2,2,3,4,3,2,-0.251067568,-0.347461324,0.55861097,-1.722282979,0.3870703,-1.357155765,-1.217182201,-0.639341352,-0.069243416,-0.723336485,-1.139093767,18,1,,1,,2,England,1.714285714,3,4.666666667,-0.592771235,-0.282187213
R_3Olep3ERv97Fi3a,EN-GB,6,The last time I cried was during my cousin's funeral.,2,,1,,5,3,4,1,1,-1.41951075,-0.73869892,3,0,4,4,1,2,5,5,2,5,2,3,2,3,2,3,2,2,2,2,1,3,2,3,2,2,3,-1.643634886,-1.674941768,-3.182199568,-1.722282979,-1.62254469,-0.739507144,-1.217182201,-0.639341352,-1.401426518,-1.393064526,-0.648381688,18,1,,1,,1,None,2.857142857,4.5,1.666666667,-1.44404612,-1.079104835
R_2xV3mOj24j7BTq2,EN-GB,2,"I was at a counselling session, and talking about deeper emotions inside myself that I haven’t necessarily opened up a whole lot and led me to crying because of realising more clearly what had been going on in my emotions. I felt better afterwards as I knew it was a good thing to open up and I was able to learn how to improve how I felt, my Counsellor was there to help me.",1,,4,Realisation,2,1,2,2,1,-0.543475436,-0.73869892,2,2,4,4,2,2,2,3,4,2,3,2,3,2,2,4,3,3,3,3,2,3,2,2,4,2,2,-0.251067568,-0.347461324,-1.311794299,-0.394937304,-0.617737195,-0.739507144,-1.217182201,-1.272955121,-0.069243416,-1.393064526,-1.139093767,18,1,,1,,1,,3.428571429,2.25,2,-0.795822169,-0.641087178
R_3I4DY25IRMv0Jmf,EN-GB,2,"I was crying about the death of my dog, I was out in public outside the vet.  Before the death, I felt very happy and relaxed.  After the death, I felt very confused, shocked and sad.  I was comforted by my mother and father.",3,Death of my dog,2,,3,1,4,3,1,0.332559879,-0.73869892,2,1,4,4,2,5,2,2,3,1,5,5,4,1,1,4,3,3,3,3,3,4,3,4,4,4,3,-0.251067568,-0.347461324,-1.311794299,-0.394937304,0.3870703,-0.121858522,-0.641101309,-0.005727582,-0.069243416,-0.053608445,-0.648381688,18,1,,1,,1,,4.142857143,1.5,2.666666667,-0.314373741,-0.203069521
R_3e8P1C2SxPGwKZw,EN-GB,3,The last time I cried was during exam period last semester due to being overwhelmed. Beforehand I was quite irritable and afterwards I felt relieved. I was helped by my friends at uni.,1,,2,,2,1,4,2,2,-0.543475436,-0.02089899,2,2,4,4,1,5,5,4,5,5,5,5,5,3,1,5,3,4,4,4,2,3,4,5,5,5,3,-0.251067568,0.980019119,0.55861097,0.932408372,-0.617737195,-0.739507144,-0.065020417,0.627886187,0.596848136,0.616119595,-0.648381688,18,1,,1,,1,-,4.714285714,4.25,2.333333333,0.180925306,-0.282187213
R_3oNrCIaelck0lqe,EN-GB,3,I felt really upset because my brother kept repeating mistakes that had a negative impact on me after I repeatedly warned him not to. Afterwards I was upset with myself as I often don't get angry. I got over within the day,1,,3,,1,,,2,1,-0.543475436,-0.73869892,5,2,5,3,4,5,5,5,3,5,3,4,5,5,3,3,2,3,3,3,3,3,2,3,2,3,2,-1.643634886,-0.347461324,-1.311794299,-0.394937304,0.3870703,-0.739507144,-1.217182201,-0.639341352,-1.401426518,-0.723336485,-1.139093767,18,1,,1,,1,,3.714285714,5,4,-0.833694998,-0.641087178
R_3nJJoUto6LAnfwU,EN-GB,5,"Due to an anxiety attack during a night out, was in a very good state beforehand and luckily had a friend to help me out afterwards",2,,2,,2,1,4,1,1,-1.41951075,-0.73869892,7,0,2,2,2,2,4,4,2,4,2,2,3,4,2,2,3,3,4,3,2,2,2,2,1,3,2,-0.251067568,-0.347461324,0.55861097,-0.394937304,-0.617737195,-1.357155765,-1.217182201,-1.272955121,-2.06751807,-0.723336485,-1.139093767,19,1,,1,,4,New Zealand,2.142857143,4,2,-0.802712166,-1.079104835
